Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C4 C3 C5 C6 ,6,"330n","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
C7 C8 ,2,"22u/50V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
D1 D2 D3 ,3,"1N5406RLG","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J2 J3 J1 ,3,"Conn_01x02_Male","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal","~"
J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 ,10,"Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
R1 ,1,"R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R3 R2 ,2,"0R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
SW1 ,1,"SW_MEC_5G_LED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488"
U1 ,1,"PYBE30-Q24-D15","psu:PYBE30",""
U2 ,1,"LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
U3 ,1,"LM7912_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7905.pdf"
U4 ,1,"LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
U5 ,1,"VR20S12","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"